senid,sentence,intent,sampling_strategy,confidence
881172,Vâng Th để e nhắn,agree,,0
881173,Đúng rối,agree,,0
881174,Đu ng rô i,agree,,0
881175,Vâng em thấy rồi,agree,,0
881176,Dạ Vâng ạ,agree,,0
881177,Đúng rồi chị,agree,,0
881178,vâng a hiii cháu thic lm,agree,,0
881179,Vâng oki bạn ạ,agree,,0
881180,Vâng oki c Để e đặt qua shopee,agree,,0
881181,Đúng rồi đó,agree,,0
881182,Vâng tks shop nhé,agree,,0
881183,à vâng e hiểu r ạ,agree,,0
881184,ừa nàng,agree,,0
881185,Vâng để e tham khảo thêm nhé,agree,,0
881186,Dạ vâng check giúp e với,agree,,0
881187,Vâng oke bạn,agree,,0
881188,Vâng a,agree,,0
881189,Vâng ok B,agree,,0
881190,Vâng nha e nhỏ c ạ,agree,,0
881191,Vâng đấy,agree,,0
881192,ah vâng ah,agree,,0
881193,Uhm đúng rồi nôi nâu đấy b,agree,,0
881194,Vâng vậy thì đc,agree,,0
881195,ừa đang tính th,agree,,0
881196,Vâng xanh nhé,agree,,0
881197,Hi hi đúng roi,agree,,0
881198,vâng b nhé,agree,,0
881199,DUNG ROI,agree,,0
881200,vâng đ n đó toàn phụ nữ sau sinh bị,agree,,0
881201,Vâng Hn,agree,,0
881202,Vâng ah fđể mình nghiên cứu ah,agree,,0
881203,vâng tại e thấy hơi nhỏ,agree,,0
881204,Vâng oki shop ,agree,,0
881205,Vâng đây c,agree,,0
881206,Vâng bạn Để tớ nghiên cứu thêm có gì tớ báo bạn nhé,agree,,0
881207,vâng minh biet la de lau qua,agree,,0
881208,Vâng ạ để em vào xem,agree,,0
881209,Vâng az,agree,,0
881210,Àh vâng,agree,,0
881211,Vâng ạ Shop giúp mình với,agree,,0
881212,Đúng ròii b nhé,agree,,0
881213,Vâng th để mình qua mua ạ,agree,,0
881214,Vâng để e xem rồi báo lại nhed,agree,,0
881215,Vâng ti c quá ak ,agree,,0
881216,Vâng ạ tại mình chờ mãi k thấy ai gọi,agree,,0
881217,Vâng để e xem lại video,agree,,0
881218,đúng rồi Em,agree,,0
881219,dung roi ak,agree,,0
881220,Vâng ạh đợi mình báo nhé,agree,,0
881221,Vâng ạ Khi nào đc nhắn e shop nhé,agree,,0
881222,Ah b ơi đúng rồi b ah,agree,,0
881223,Uh đúng rồi s,agree,,0
881224,đu ng rô i,agree,,0
881225,Ukm đúng rồi bạn ạ,agree,,0
881226,Vâng Ko có gì nè,agree,,0
881227,Vâng 3,agree,,0
881228,Đúng rồi 2 set như mình gửi nhé,agree,,0
881229,ừa gói hàng cẩn thận cho tớ nhé,agree,,0
881230,Đung rôi,agree,,0
881231,Vovo đúng rồi ạ,agree,,0
881232,À Vâng e chưa đọc kĩ,agree,,0
881233,Vâng e ở hn,agree,,0
881234,đung roi,agree,,0
881235,đúng roi b,agree,,0
881236,Ôi vâng ạ,agree,,0
881237,Vâng th cũng đc au,agree,,0
881238,Dung roi ne,agree,,0
881239,đúng rồi shop nhé,agree,,0
881240,Dạ vâng ạ Hic chờ mỏi mòn c ạ,agree,,0
881241,Vâng ạ D,agree,,0
881242,Vâng ạ Mai em ghé ạ,agree,,0
881243,vâng đúng r ạ,agree,,0
881244,dạ đúng rồi chị,agree,,0
881245,Uh Dung roi,agree,,0
881246,À vâng,agree,,0
881247,Ah Vâng,agree,,0
881248,Ah vâng ok shop,agree,,0
881249,Đúng rôi,agree,,0
881250,Vâng Okie b Để m qua xem hàng sẵn,agree,,0
881251,Vâng đúng r c,agree,,0
881252,Vâng cùng địa chỉ ạ,agree,,0
881253,Đúng rồi B a,agree,,0
881254,Vâng e nhận tối nhed,agree,,0
881255,vâng ok ah,agree,,0
881256,vâng ok ạ,agree,,0
881257,Đúng rồi b ạ ,agree,,0
881258,Vâng oki chị Em lại cứ đợi mấy hôm nay,agree,,0
881259,Vâng ok c ạ,agree,,0
881260,Vâng C,agree,,0
881261,Ug đúng rồi,agree,,0
881262,Dạ vâng xem giúp mình nhé,agree,,0
881263,dạ vâng chị,agree,,0
881264,Vâng vì đợi xe về đặt luôn 1 lần,agree,,0
881265,Vâng có gì e ủng hộ c dài,agree,,0
881266,Vâng Ok b nhé,agree,,0
881267,Vâng ak,agree,,0
881268,Vâng Để mjh vào ktra ak,agree,,0
881269,Vâng b xem lại hộ mình với,agree,,0
881270,đúng rồi hop j,agree,,0
881271,ừ th ok rồi tớ nhờ banj tớ mai qa mua ở shop rồi,agree,,0
881272,Vâng oki ạh,agree,,0
881273,Đúng rồi ahop,agree,,0
881274,oke,agree,,0
881275,đúng rồi em a,agree,,0
881276,Vay ah Uh,agree,,0
881277,Đúng rôit,agree,,0
881278,Dung roi ban minh can bảo hành,agree,,0
881279,vâng e oder,agree,,0
881280,Ak dạ vâng ạ,agree,,0
881281,ừa e,agree,,0
881282,Vâng c ui,agree,,0
881283,Ah vâng a,agree,,0
881284,Vâng e lấy pin medela nha c,agree,,0
881285,vâng c nhé,agree,,0
881286,vâng shop,agree,,0
881287,Vâng e bi t r,agree,,0
881288,Dung roib,agree,,0
881289,Vâng k sao mà c,agree,,0
881290,Vâng thoii cũng đc ah,agree,,0
881291,Dạ vâng e xem kĩ hơn ạ,agree,,0
881292,Vâng ạ E muốn đặt qua shopee,agree,,0
881293,Uh đúng rồi phụ nữ nào có con rồi cũng đều quan tâm đ n mấy cái này,agree,,0
881294,Uh đúng rồi bạn r5 royal city 72a nguyễn trãi 0967606768,agree,,0
881295,Vâng okie b Có j mình sẽ mua ủng hộ shop ti p,agree,,0
881296,Vâng ah tks shop nhiều,agree,,0
881297,Đúng rồi nhe,agree,,0
881298,dạ vâng th e tự thi t k màn cũng đc ạ,agree,,0
881299,Vâng shop ship giúp m,agree,,0
881300,Vâng ạ giúp em cái nhé ,agree,,0
881301,Ừ đúng rồi,agree,,0
881302,Dạ vâng ạ để e đặt ạ,agree,,0
881303,Vâng ạt,agree,,0
881304,Th à uh,agree,,0
881305,Vâng em cứ thử thôi,agree,,0
881306,Vâng m đang hỏi kệ dưới ạ,agree,,0
881307,Ah Uh,agree,,0
881308,Đúng roi bạn,agree,,0
881309,Vâng Hihi,agree,,0
881310,vâng Ok c ah,agree,,0
881311,ừ mình hủy rồi ạ,agree,,0
881312,ừa nha,agree,,0
881313,Vâng Để mình xem thêm ạ,agree,,0
881314,Vâng e hay mua bên mình đó,agree,,0
881315,hic dạ vâng ạ,agree,,0
881316,Vâng th thì tốt ạ,agree,,0
881317,ừa ,agree,,0
881318,ừ taij mình k để ,agree,,0
881319,Đung roi ban,agree,,0
881320,Oh Dạ vâng em noted nhé,agree,,0
881321,Đúng rồi đó shop,agree,,0
881322,À uh nhỉ,agree,,0
881323,Vâng mình ở tq,agree,,0
881324,Vâng ạ hehe,agree,,0
881325,Vâng về địa chỉ,agree,,0
881326,Uh uh cậu ạ,agree,,0
881327,ừ th phải báo thức không lại quên mất,agree,,0
881328,Đúng rồi e nhé,agree,,0
881329,à vâng thaks shop,agree,,0
881330,Đúng rồi bạn ơi lại ship cho mình đ n đó nha,agree,,0
881331,Vâng e thấy z,agree,,0
881332,vâng ksao ạ,agree,,0
881333,vâng p,agree,,0
881334,Dung roi do,agree,,0
881335,Dạ lắp chiều đúng rồi ạ,agree,,0
881336,à vâng th thì ok,agree,,0
881337,Dạ vâng a,agree,,0
881338,Vâng ạ chắc ngày nào cũng cho bơi quá,agree,,0
881339,Đúng rồi sh ơi,agree,,0
881340,Da vâng ,agree,,0
881341,Dạ vâng ạ,agree,,0
881342,Da dung roi ah,agree,,0
881343,Đúng rồi giao về hoa sữa nhé,agree,,0
881344,À vâng E báo ở trên,agree,,0
881345,Dạ rồi ukj c,agree,,0
881346,ừ thì mình chưa rõ nên mới hỏi lại đó ,agree,,0
881347,À Dạ vâng Th e ytam rồi,agree,,0
881348,Vâng C lấy cho e mẫu e đánh dấu ạ,agree,,0
881349,Vâng thanh 12cm thôi,agree,,0
881350,Dạ vâng ạ em bi t rồi ạ,agree,,0
881351,Vâng ạ do mình để trong kho lâu rồi giờ ngại lôi ra quá huhu,agree,,0
881352,Uk đúng rồi,agree,,0
881353,Um dung roi shop,agree,,0
881354,À dạ vâng c,agree,,0
881355,Da dung roi a,agree,,0
881356,Vâng c cứ ship qua em nhé,agree,,0
881357,vâng tks shop,agree,,0
881358,Đúng rồi nhà,agree,,0
881359,Đúng rồi cậu ạ,agree,,0
881360,Đúng rôi shop,agree,,0
881361,Vâng k sao mà c e cứ tưởng c quên thôi hỳ,agree,,0
881362,ừa bạn ạ,agree,,0
881363,ừa cậu ạ,agree,,0
881364,Dạ vâng ạ,agree,,0
881365,Vâng Có shop pm mình nha ,agree,,0
881366,Dạ vâng đc ạ,agree,,0
881367,Vâng ạ chiều em chốt ạ,agree,,0
881368,dạ đúng rồi ạ ,agree,,0
881369,Vâng c e tham khảo thêm chút có gì e ib nha c,agree,,0
881370,Vâng oki c,agree,,0
881371,Vâng Tks chị,agree,,0
881372,Vâng E hiểu rồi ạ,agree,,0
881373,Vâng b nha,agree,,0
881374,Ah uh ,agree,,0
881375,Đúng rồi mà,agree,,0
881376,Dạ đúng roi ạ,agree,,0
881377,vâng v e đặt shopee ạ,agree,,0
881378,Vâng 2 thanh,agree,,0
881379,Da vang dung roi,agree,,0
881380,Đúng rồi b nhé,agree,,0
881381,Vâng a Tks c ạ,agree,,0
881382,Hihi Vâng ạ E ghé shop luôn bh đây ạ ,agree,,0
881383,vâng vì thứ 7 cn mình không có ở đó,agree,,0
881384,Vâng ak E vừa làm thử Ok lắm ak Hihi,agree,,0
881385,dạ vâng oki shop,agree,,0
881386,ừ ok b th để tí m ck nha,agree,,0
881387,Đúng ròii,agree,,0
881388,DÚNG RÒI SHOP UI,agree,,0
881389,Dạ đúng rồi chị nè,agree,,0
881390,Àk vâng,agree,,0
881391,À vâng ok ạ,agree,,0
881392,vâng c dâu e cứ muốn th,agree,,0
881393,Vâng địa chỉ cũ ạ,agree,,0
881394,Vâng để e tính ạ,agree,,0
881395,vâng ở HN quân đống đa,agree,,0
881396,Uh Đúng rồi,agree,,0
881397,Vâng ok shop ak,agree,,0
881398,vâng mình hiểu rồi ,agree,,0
881399,đúng rồi em,agree,,0
881400,Đúng rồi b ạh,agree,,0
881401,Uh dung roi b,agree,,0
881402,Vâng ah ,agree,,0
881403,vâng vậy bộ đấy là bao nhiêu ạ,agree,,0
881404,Vâng ok c nhé,agree,,0
881405,dạ vâng e nhận đx voi r ạ,agree,,0
881406,Vâng sh,agree,,0
881407,Vâng dc ạ,agree,,0
881408,Vâng để e tham khảo thêm ạ,agree,,0
881409,À đó đúng rồi,agree,,0
881410,vâng e sẽ làm th,agree,,0
881411,Đúng roiif shop,agree,,0
881412,Vâng Ko sao ạ,agree,,0
881413,Đứng rồi bamboo b oi,agree,,0
881414,Vâng cốp oto 4 chỗ thui nên cũng hơi nhỏ,agree,,0
881415,Vâng Có j m báo sh ạ,agree,,0
881416,Vâng Shop,agree,,0
881417,Ah vâng e hỏi cũng lâu lâu r ạ,agree,,0
881418,Vâng ạ ok shop,agree,,0
881419,Àh uh,agree,,0
881420,À vâng e hiểu rồi,agree,,0
881421,Vâng ạ em đang xem đây,agree,,0
881422,vâng tại vì e sinh lần đầu,agree,,0
881423,Đúng roi nha,agree,,0
881424,Đúng rồi bạn nôi summer đó,agree,,0
881425,Vâng th chị đổi giúp em nhé,agree,,0
881426,Uh dung roi,agree,,0
881427,Vâng Về m xem lại ạ ,agree,,0
881428,Vâng Đang háo hức xe quá,agree,,0
881429,Vâng để em tham khảo rồi báo chị,agree,,0
881430,đúng rồi Cứ quá nhiều lần thì cả bạn cả tôi đều cảm thấy phiền phức,agree,,0
881431,Vâng ok shop ạ,agree,,0
881432,vâng oki shop,agree,,0
881433,Vâng Theo địa chỉ cũ ạ,agree,,0
881434,Vâng m sẽ qua lấy nhé,agree,,0
881435,Vâng để e tham khảo đã a ,agree,,0
881436,uh,agree,,0
881437,Vâng ạ Có gì e đặt hàng sau ạ,agree,,0
881438,dạ vâng,agree,,0
881439,Vâng ah Để e qua xem,agree,,0
881440,Vâng chị chốt tiền giúp e nhé,agree,,0
881441,vâng tks chị,agree,,0
881442,Vâng th để e gọi hỏi nhà xe ạ,agree,,0
881443,Da vâng oki c,agree,,0
881444,Dạ vâng vậy e đợi k sao ạ,agree,,0
881445,vâng oki c nhé,agree,,0
881446,ừ mình bi t mà,agree,,0
881447,Vâng oki chị ạ,agree,,0
881448,Vâng th cũng may ạ,agree,,0
881449,Dạ vâng ạ Ko sao c ạ,agree,,0
881450,Vângggggh,agree,,0
881451,Vâng mình mún mua mà xa quá,agree,,0
881452,Đúng rồi sh,agree,,0
881453,vâng ok bạn,agree,,0
881454,Vâng m bi t khu ấy rồi,agree,,0
881455,Vâng th đc r ạ,agree,,0
881456,Dạ vâng the thoi ạ,agree,,0
881457,vâng đúng r ạ,agree,,0
881458,Vâng để em qua ạ,agree,,0
881459,Đúng rồi mình cũng thích mẫu này,agree,,0
881460,À uk ,agree,,0
881461,Vâng b ,agree,,0
881462,Đúng rồi c ah,agree,,0
881463,Dạ vâng tks shop ạ,agree,,0
881464,Hihi uh,agree,,0
881465,Đc đó đúng rồi,agree,,0
881466,Vâng e cảm ợ,agree,,0
881467,Uh đúng rồi b ơi,agree,,0
881468,Vâng Có j e sẽ liên lạcj lại ạ,agree,,0
881469,Vâng ghi nhầm c ạ,agree,,0
881470,Vâng Đúng rồi,agree,,0
881471,Dạ vâng đr shop,agree,,0
881472,Dạ vâng đúng rồi ạ,agree,,0
881473,Vâng chờ mình ktra,agree,,0
881474,vâng đa nh thê a,agree,,0
881475,vâng dc ạ,agree,,0
881476,Vâng ạk E đang đi xem trên youtube tìm hiểu,agree,,0
881477,Vâng Lát c qua nha,agree,,0
881478,vâng cũng đc ạ,agree,,0
881479,À vâng ah,agree,,0
881480,He vâng,agree,,0
881481,Vâng oke b nha,agree,,0
881482,dung roi b,agree,,0
881483,Vâng đúg rôi a,agree,,0
881484,Đúng rôi bạn,agree,,0
881485,Vâng để e xem,agree,,0
881486,à đúng rồi đó ạ,agree,,0
881487,À vâng ok shop,agree,,0
881488,Vâng oke shop,agree,,0
881489,Vâng tks b nhé,agree,,0
881490,vângh,agree,,0
881491,Vâng ci,agree,,0
881492,vâng shop ship giúp t nhé,agree,,0
881493,Vâng Để mình tham khảo thêm,agree,,0
881494,Vâng th cg đc ạ,agree,,0
881495,Đúng rổi,agree,,0
881496,Dạ vâng thôi chấp nhận vậy huhu,agree,,0
881497,Đúng rồi shô,agree,,0
881498,Vâng Th cũng đc,agree,,0
881499,Vâng th thì đc rồi ạ,agree,,0
881500,Vâng tn cug dc c,agree,,0
881501,Vâng đc chị,agree,,0
881502,vâng vẫn đang bmht ạ,agree,,0
881503,vâng ok b ,agree,,0
881504,Đúng rồi nha shop,agree,,0
881505,Đung rồi bạn,agree,,0
881506,Đúng rồi c nhé,agree,,0
881507,vâng ok sh,agree,,0
881508,vâng ,agree,,0
881509,đúng rồi vì ship đ n chỗ làm 4h mình nghỉ rồi,agree,,0
881510,Đúng rồi hàng chính hãng là yên tâm rồi,agree,,0
881511,dạ vâng vậy đẻ e sắp x p thời gian,agree,,0
881512,À ừ đúng e,agree,,0
881513,đứng rồi,agree,,0
881514,Dạ vâng ,agree,,0
881515,Vâng cung Đc ạ,agree,,0
881516,Dung roi cau,agree,,0
881517,Vâng em nhần ,agree,,0
881518,đúng rồi mình vừa gọi cho bạn,agree,,0
881519,Đúng rồi bạn ,agree,,0
881520,Vâng Bọn em sẽ xem xét,agree,,0
881521,Vâng tks shop có j mình pm lại ạ,agree,,0
881522,vâng để tớ xem nhé,agree,,0
881523,Vâng ah để mình xem ah,agree,,0
881524,đúng rồi mình nhầm,agree,,0
881525,Đúng rồi n,agree,,0
881526,Vâng đúng rồi,agree,,0
881527,Vâng ạ ok bạn,agree,,0
881528,vâng shop à,agree,,0
881529,Vâng ạ thaks shop,agree,,0
881530,Vâng cũng rất xin lỗi shop vì đã liên hệ vào giờ nghỉ,agree,,0
881531,Dạ đúng rồi ạ ,agree,,0
881532,Vâng rất mới mà c,agree,,0
881533,Rùi ukj shop,agree,,0
881534,vâng cái này em công nhận D mà n u làm chuẩn ngay từ đầu thì sẽ ko mất thời gian cho cả em và chị vì em bi t thắc mắc này lọ có 5K chắc chị cũng thấy khó chịu,agree,,0
881535,vâng hi,agree,,0
881536,Dạ vâng để e thử qua shopee,agree,,0
881537,Ah Uh Tại bé nhà tớ 2 tháng nữa mới bắt đầu,agree,,0
881538,UHM ĐÚNG RỒI,agree,,0
881539,dạ vâng dc ạ,agree,,0
881540,ĐÚng rồi bạn,agree,,0
881541,Vâng Hi,agree,,0
881542,dạ vâng e đang xem tính năng trên youtube rồi liên hệ bên mình nhé,agree,,0
881543,Uh dung roi baan,agree,,0
881544,Dung roi c,agree,,0
881545,Vâng thứ hai cũng dc ạ,agree,,0
881546,Đúng ròi b,agree,,0
881547,DUNG ROI S OI,agree,,0
881548,Uh đúng rồi em,agree,,0
881549,Vâng ok bạn,agree,,0
881550,Vâng Đúng r ạ ,agree,,0
881551,Đúng rồi màu xanh như hình,agree,,0
881552,Ah uh c quên,agree,,0
881553,Đúng rồi Bình uống màu xanh có tay cầm,agree,,0
881554,Vâng em nhận đc rồi,agree,,0
881555,Ah Uh K giống lắm,agree,,0
881556,đung rồi bạn,agree,,0
881557,Vâng Đc 120 ml rồi,agree,,0
881558,Vâng Th m tham khảo thêm có gì m pm lại,agree,,0
881559,Uh Uh,agree,,0
881560,Vâng đúng rồi bạn bạn gửi cho mình theo địa chỉ sy,agree,,0
881561,uh mình cug nghĩ thê,agree,,0
881562,Vâng ngóg qá,agree,,0
881563,Oh vâng,agree,,0
881564,vâng thui để e coi thêm,agree,,0
881565,Vâng giao sớm giúp e nhé e cần lắm,agree,,0
881566,ừa okie b,agree,,0
881567,Uhm đúng rồi,agree,,0
881568,Vâng Xa quá Thui tẹo mk ck ạ ,agree,,0
881569,ừ đúng rùi,agree,,0
881570,ừ nhà mình kín ạ,agree,,0
881571,Vâng bạn ạ,agree,,0
881572,Vâng đúng r c ơi,agree,,0
881573,Hihi Vâng ạ,agree,,0
881574,Vâng e bi t tính roi a,agree,,0
881575,Hà uhm,agree,,0
881576,Vâng ah mh nhìn nhầm,agree,,0
881577,Vâng cái đấy e bi t ạ,agree,,0
881578,Dạ vâng ah,agree,,0
881579,Vâng ạ có gì chiều mình qua shop xem ạ,agree,,0
881580,Vâng e thấy rồi,agree,,0
881581,Vâng ok shop ,agree,,0
881582,Vâng e gọi lại rồi,agree,,0
881583,Vâng e có đọc rồi,agree,,0
881584,Dung rồi b,agree,,0
881585,vâng c ạ,agree,,0
881586,ừa e ạ,agree,,0
881587,À vâng mình quên mất,agree,,0
881588,Dạ vâng oki c ạ,agree,,0
881589,Ah uh oki nha b,agree,,0
881590,À vâng th ok ạ,agree,,0
881591,vâng ks e hỏi vậy thôi ạ,agree,,0
881592,đúng rồi chị,agree,,0
881593,Dạ đúng rồi ak,agree,,0
881594,Dạ đúng rồi bạn,agree,,0
881595,Vâng vậy cũng đc ah,agree,,0
881596,Dạ vâng ok ạ,agree,,0
881597,Vâng oki b,agree,,0
881598,Ah Uhm,agree,,0
881599,Vâng ok ạ,agree,,0
881600,À vâng ,agree,,0
881601,Đúng rồi ah,agree,,0
881602,Hj uk,agree,,0
881603,Đúng rồi shop chiều tối qua m mới nhận đc ,agree,,0
881604,Hđúng rồi,agree,,0
881605,Vâng th ạ,agree,,0
881606,Dạ vâng Vậy để em nghiên cứu nhé,agree,,0
881607,vâng tks shopp,agree,,0
881608,Vâng th cũng dc ạ,agree,,0
881609,Vâng bạn Mình cũng liên hệ chị đấy để mua nè,agree,,0
881610,Uh đúng rồi e,agree,,0
881611,ừa mình đang thích kiểu đó đấy,agree,,0
881612,ừa oke có gì nhớ báo t nhé,agree,,0
881613,Đúng rồi c à,agree,,0
881614,Vâng c cho em lấy luôn ạ,agree,,0
881615,Vâng ở phú thượng,agree,,0
881616,ừ bi t chỗ đê quai rồi,agree,,0
881617,Đúng rồi bạn thanh chứ y mình ko mua,agree,,0
881618,Đúng rồi nè,agree,,0
881619,vâng đc ạ,agree,,0
881620,Vâng Ok c,agree,,0
881621,Vâng th cũng đc,agree,,0
881622,Đúng rồi nhà c có sẵn,agree,,0
881623,Vâng vậy cũng đc,agree,,0
881624,À uh m nhìn nhầm,agree,,0
881625,DẠ VÂNG Ạ,agree,,0
881626,Đúng rồi á bạn,agree,,0
881627,Đúng rôig b oi,agree,,0
881628,Dạ vâng cg đc ạ,agree,,0
881629,dạ vâng vậy thui ạ,agree,,0
881630,Dạ vâng đúng e ạ,agree,,0
881631,ừa tớ thích cái đấy,agree,,0
881632,đung rồi tinh lun b,agree,,0
881633,Đúng rồi h,agree,,0
881634,Vâng ạ Bạn tư vấn th thì mình hiểu rồi ạ,agree,,0
881635,Vâng đc c ạ,agree,,0
881636,Ah uh nhỉ,agree,,0
881637,Vâng lúc nãy e vào kid nó báo giá là 6490 swing maxi,agree,,0
881638,Vâng bé gaia,agree,,0
881639,Dạ dung roi,agree,,0
881640,Vâng ạ Th mai e qua ạ,agree,,0
881641,Vâng ạ có gì em sẽ báo lại ạ 3,agree,,0
881642,Vâng màu trắng cũng đc,agree,,0
881643,Vâng giao về địa chỉ cũ,agree,,0
881644,Vâng đúng r b ạ,agree,,0
881645,ừm k sao nhé nhầm lẫn là chuyện bình thường,agree,,0
881646,Dạ Đúng rồi đó c,agree,,0
881647,uk,agree,,0
881648,Vâng ship e nhé,agree,,0
881649,đúng roi ạ,agree,,0
881650,Vâng Lát em qua shop xem luôn ạ,agree,,0
881651,à đúng rồi,agree,,0
881652,Vâng ak Hehe ,agree,,0
881653,vâng mình đặt r b ơi,agree,,0
881654,Vâng tối mình có việc bận,agree,,0
881655,Vâng Chị ship sớm giúp em ,agree,,0
881656,ừa cậu,agree,,0
881657,vâng để em tag bạn e,agree,,0
881658,Vâng để e tham khảo thêm giá ạ,agree,,0
881659,dạ vâng th thôi cũng đc ạ,agree,,0
881660,Vâng ạ Có gì e sẽ qua shop xem và lấy hàng ạ,agree,,0
881661,Vâng shop h t nun ạ,agree,,0
881662,Dạ vâng ở dưới n loe ra nên rộng,agree,,0
881663,vâng để m báo ck m,agree,,0
881664,Hì vâng,agree,,0
881665,Đúng rồi ạp,agree,,0
881666,Dag dung roi,agree,,0
881667,Vâng m đã đặt trên shopee rồi,agree,,0
881668,Ok nhé ko dc free ship hở uh ok,agree,,0
881669,Vâng th thôi c,agree,,0
881670,Hị hị vâng ạ,agree,,0
881671,Ờ đúng ròii này,agree,,0
881672,Dạ vâng đúng ạ,agree,,0
881673,Đúng rồi mình vẫn phải làm th,agree,,0
881674,Vâng ạ mai c nhé,agree,,0
881675,Vâng e trả giá r ạ,agree,,0
881676,Vâng thì e vẫn phải dùng thôi,agree,,0
881677,đúng ròi,agree,,0
881678,Hihi uh ok,agree,,0
881679,chatbot à shop ơi,ask_is_bot,,0
881680,Bot hay nhan vien,ask_is_bot,,0
881681,Chat bot hay nhan vien,ask_is_bot,,0
881682,chatbot hay nguoi,ask_is_bot,,0
881683,nvien hay chatbot vậy,ask_is_bot,,0
881684,shop oi nguoi hay bot the ah,ask_is_bot,,0
881685,shop đang dùng chatbot ạ,ask_is_bot,,0
881686,Shop ơi ng hay bot the ah,ask_is_bot,,0
881687,shop ơi người hay bot th ạ,ask_is_bot,,0
881688,ng hay chatbot,ask_is_bot,,0
881689,shop de auto tra loi a,ask_is_bot,,0
881690,Chatbot hay người,ask_is_bot,,0
881691,Ng hay chatbot vậy shop,ask_is_bot,,0
881692,Chatbot hay người th,ask_is_bot,,0
881693,Đang chat với bot hay ng th,ask_is_bot,,0
881694,chatbot hay nhân viên vậy,ask_is_bot,,0
881695,Nhân viên shop hay gì th,ask_is_bot,,0
881696,shop ơi chatbot tự động à,ask_is_bot,,0
881697,Chatbot hay nhân viên,ask_is_bot,,0
881698,Bot hay ng,ask_is_bot,,0
881699,Đang chat với bot hay người th,ask_is_bot,,0
881700,co phai ng khong,ask_is_bot,,0
881701,dang chat voi chatbot hay nguoi the,ask_is_bot,,0
881702,shop ơi bot à,ask_is_bot,,0
881703,la nguoi hay bot the,ask_is_bot,,0
881704,tự động trả lời à shop ơi,ask_is_bot,,0
881705,bot a,ask_is_bot,,0
881706,shop dùng chatbot ạ,ask_is_bot,,0
881707,Chat voi nguoi hay chatbot vay,ask_is_bot,,0
881708,bot hay nvien vậy,ask_is_bot,,0
881709,chatbot hay nhan vien vay,ask_is_bot,,0
881710,La ng hay chatbot the,ask_is_bot,,0
881711,shop oi chatbot hay nvien vậy ah,ask_is_bot,,0
881712,Shop dùng chatbot à,ask_is_bot,,0
881713,Có phải ng ko,ask_is_bot,,0
881714,chatbot tự động à,ask_is_bot,,0
881715,shop sử dụng bot à,ask_is_bot,,0
881716,mk dang chat với ng hay chatbot th,ask_is_bot,,0
881717,Người hay máy vậy shop,ask_is_bot,,0
881718,Shop để trả lời tự động à,ask_is_bot,,0
881719,mk dang chat voi ng hay chatbot the,ask_is_bot,,0
881720,Chatbot hay nguoi,ask_is_bot,,0
