senid,sentence
636600,nhà m hơi bé nên chỉ lắp đc quây như này thôi
636601,shop còn ngựa bập bênh k ak
636602,màu xanh cho bé trai ak
636603,n u còn shop ship cho m nhé
636604,m ở ngay tân ấp nghĩa dũng
636605,ok shop ak
636606,à ngựa bn vậy shop
636607,còn quây shop báo lại m nhé
636608,m thanks
636609,shop chẽck lại chưa sh
636610,Loại này bnhiu Shop
636611,Bộ này gồm j zay Shop 
636612,Sao ship b
636613,Ship bnhiu b 
636614,Tổng 4590k phải ko b
636615,Zay thôi b
636616,Co kèm nệm ko shop
636617,Có ảnh thật ko shop gui minh koi dc ko
636618,Mùng thì minh tự mua hay có luôn shop
636619,Minh o sg n u mua về bị lỗi j mình đổi dc hok shop
636620,Cho minhf giá gh ô tô zaracos aroma nhé
636621,Hic Hỏi b lâu quá t vừa mua bên tuticare rùi
636622,Chất liệu gì th b
636623,Kiểu này có mấy loại ạ
636624,Mua ship hay mjnh phải qua xem a
636625,Mình ở tỉnh ship k a
636626,Về tự nắp đc hả a
636627,Ship mình 1 bộ màu xanh ghi nhé
636628,Địa chỉ b ở đâu đấy
636629,Bộ đó có cồng kềnh k vậy
636630,Mình đi xe 5 chỗ có nhét vừa k b
636631,2 vc mình b ơi
636632,2 gh sau vs cốp sau
636633,Liệu đủ k
636634,Shop ơi e ở hà nội mai ship e máy hút mũi đc j
636635,E ở 811 giải phóng hoàng mai nhé
636636,Baby futur giá bn ạ
636637,Hnay kịp k ạ
636638,Mai thì e fải nhờ nhận hộ
636639,E ở đây đ n 6h nhé
636640,Số đt e 0376462000
636641,Máy chạy pin hả c
636642,Giá sale bn shop 
636643,Bàn có thể gấp lại ko shop 
636644,Mặt bàn bằng gì mà bóng th b 
636645,Shop ơi cho em hỏi bên mình còn balo này ko ạ 
636646,Báo giá cho em luôn với ạ
636647,N u còn shop ship cho em 1 màu này tới địa chỉ số 59 đối diện số nhà 21 ngõ 29 Hồng Mai P Bạch Mai
636648,Sdt 01678122871
636649,Shop ship cho em 1 em này nhé
636650,N u mai ship thì ship cho em trước 15h ạ
636651,Shop ơi đã ship balo cho em chưa ạ
636652,Em nhận được balo rồi ạ
636653,Shop ơi cho em hỏi bên mình còn đàn này ko ạ
636654,Shop ship cho em 1 đàn này ạ
636655,địa chỉ số 59 đối diện số nhà 21 ngõ 29 Hồng Mai P Bạch Mai
636656,Chiều thì ship trước 4h cho em ạ
636657,Ko thì mai shop ship cho em ạ
636658,Sau 4h em đi vắng lại mất công shop
636659,Sdt 01678122871
636660,Shop ơi shop nhầm địa chỉ ạ anh ship gọi lại hỏi cổng viện nhi ạ shop xem có nhầm ko ạ
636661,M muốn mua 1 Bộ như th này về Vĩnh Phúc thì bn vậy
636662,Và đc khuy n mãi những j
636663,M muốn lấy quây cầu trượt bập bênh
636664,Đc khuy n mại j vậy
636665,Đ n tận nơi mua có đc giá dẻ hơn k
636666,Shop có hộp nhựa để đựng bình sữa cho bé ko ạ
636667,vâng ạ e cảm ơn shop
636668,Mình hỏi dòng của chicco ấy ạ Loại 9 triệu ấy cho mình xem hình ảnh và thông tin chi ti t nhé
636669,Shop báo giá giúp mình nôi này với ạ
636670,N u ko lấy bóng thì có giảm ko zay shop
636671,Này giá s shop
636672,Có tính phí vc ko shop
636673,Q9 hcm bn ạ
636674,Bộ này bao nhieu ạ
636675,Dài rộng cao bao nhiêu bann
636676,Bao nhieu máy này
636677,E lấy 1 bộ này
636678,Có điều chỉnh lên xuống đư9xj ko
636679,Sao mình thay ghi có 3 nút điều chỉnh
636680,Phù hop voi bé
636681,Minh mua mac
636682,Mình chie hỏi thôi
636683,Còn mình đã nói mua mà
636684,Làm vậy sao duoc
636685,Chứ mình đã nhắn truoc mà
636686,Mình đã nhắn là lấy 1 bôk
636687,Đang định nhân địa chỉ
636688,Shop làm vậy thất vọng quá
636689,Giá giảm là bao nhiêu ạ
636690,Vàng nhạt chụp e với
636691,Gửi về địa chỉ sau ạ
636692,Ngọc thanh cargill bình đinbj
636693,0902464601
636694,Lô b1 6 kcn long mỹ quy nhơn bình định
636695,Hi shop có nhiệt k đo độ ẩm ko ạ
636696,Cho e xem hình ạ
636697,Có link shope dat hang ko
636698,b ơi cho m hỏi trước m có mua thảm gấp xpe 1m8x2m bên b qua shopee
636699,nhưng h vào tìm để mua thêm mà ko thấy
636700,bên b h t sản phẩm này r ạ
636701,cả bộ bàn gh lego cũng h t hàng
636702,b thêm sản phẩm này vào shopee dc ko ah
636703,mình tìm trên shopee ko có
636704,bàn lego ấy ạ
636705,Shop cho e hỏi với
636706,2 mẫu này giá bao nhiêu ạ
636707,Hai cái này kích thước như nhau ạ
636708,Loại trên có 2 màu đấy ạ
636709,Giá vẫn đg giảm ạ
636710,Lấy cho e màu vàng kem nhé
636711,Sô 435a Đằng Hải Hải An hải phòng
636712,Sđt 0966995830
636713,Số 435a Lũng Đông phường Đằng Hải Q Hải An hp
636714,Trần thị hoài thu
636715,Cho e xem màu vàng kem vs
636716,Vâng gửi ảnh thật cả hai màu hộ e nhé
636717,Cho e đổi màu đen như trên nhé E sợ màu này xưỡc hơi bẩn
636718,Cho e đổi màu đen xám như trên nhé E sợ màu này xước trông sẽ cũ
636719,Bao h e nhận đc ạ
636720,Shop cho mình hỏi shop còn thảm chơi silicon cho bé hok shop 
636721,kích thước bn v bạn
636722,cảm ơn bạn để mình xem lại chỗ để r có gì pm bạn nhe
636723,Quây này còn k shop 
636724,Bên mình có quây gỗ ko shop 
636725,Shop ơi ship về hu bn tiền vậy ah
636726,Mình đặt những sp này trên shoppe mà phí ship cao quá luôn
636727,Trong khi mình thấy hàng cũn nhẹ mà
636728,Uh vậy thôi ah
636729,Tại nhiều shop ship toàn quốc cũn 30 40k a
636730,Bể bơi dophin bn vậy sh
636731,Rào bé nhiêu tiền vậy
636732,Giá nhiêu vậy
636733,Sao mình thấy khuy n mãi còn 4tram mấy là cai nào bạn
636734,Shop cho mình hỏi với bên mình có những lọai thảm trải sàn nằm nào cho bé ạ 
636735,Mình thấy bên shop có loại của toys house và của hàn quốc
636736,Nên ko rõ còn loại nào nữa k ak 
636737,Và 2 loại thảm đấy loại nào tốt hơn ạ 
636738,Mình muốn mua loại nguyên tấm để trải sàn cho bé
636739,2 loại đấy lọai nào tốt hơn ạ 
636740,Nguyên tấm thì chỉ có của toys house ạ 
636741,Shop có những màu nào ạ có h t trên shopee rồi ạ 
636742,Shop báo giá cho mình 2 mẫu nè nhá
636743,Mình ko thấy trên shopee để đặt mua
636744,Ship cho mình 1 bể này và 1 mũ bơi kia nhé
636745,Địa chỉ park hill 12 timescity sdt 0912567895
636746,Shop cho mình hỏi quây hola 2019 có lắp riêng ko cầu trượt dc ko ạ 
636747,Hay là mua kiểu quây bóng riêng ak 
636748,Cho mình xin giá quây hola 2019
636749,Và quây bóng riêng với ạ
636750,Quây bóng bt ko dùng có cồng kềnh lắm ko ạ 
636751,Mình muốn lấy size M ko thảm thì còn màu gì ạ 
636752,Giá ship về khu timescity thì bn ạ 
636753,Th cho mình quây size L nhé
636754,Mình ko lấy ngựa chòi bập bênh
636755,Thì giá 2590 có bao gồm bóng ko ạ 
636756,Í mình là đợt trc có thấy shop báo là ko lấy thảm mà lấy bóng thì giá là 2590
636757,Size L đúng ko ạ 
636758,Cho mình lấy 1 quây size L nhé
636759,Ko lấy ngựa
636760,Chỉ lấy bóng
636761,Ship giúp mình về park hill 12 timescity
636762,Sdt 0912567895
636763,Bé gái nhưng mình lấy quây ko có màu hồng
636764,Còn bóng thì hồng nhé 
636765,Lấy cửa xanh dc ko ạ 
636766,Cửa xanh
636767,Bóng ghi hồng trắng
636768,Bạn ship tầm h nào ak 
636769,Tầm 5r chiều mới về ạ
636770,Tối thmai ak
636771,Ok mình cảm ơn 
636772,Cho mình xin giá sp này ạ
636773,Đen chi u sao umoo gia bn ạ 
636774,Cho mình lấy 1 bạn cú nhé
636775,Cái đèn này vs cái đèn sao của winfun thì cái nào dùng tiện hơn ạ 
636776,Đèn này thay pin có dễ dàng ko ạ có chi u sao ko ạ 
636777,Cho mình 1 xe tròn tập đi 460k nhé
636778,Đây xe này nhé
636779,Ship đ n park hill 12 giúp mình ạ
636780,Tầm từ 6h tối trở đi bạn nhed
636781,Cho mình thêm 1 sách winfun này nữa ạ
636782,Cốc x p chồng này còn thì ship cùng cho mình luôn nhé 
636783,Cốc x p chồng loại thả bóng bạn nhé
636784,Mình tưởng 189k
636785,Tối ship giúp mình 2 sp đấy nhé
636786,Mình nhận dc đồ rồi nhé
636787,Shop ơi bộ này size bao nhiêu ạ 
636788,Bình thường n u xích đu chưa dùng thì có tháo ra và thay bằng 1 tấm quây dc ko ạ 
636789,Ship giúp mình đ n 75 đinh tiên hoàng hoàn ki m hà nội nhé
636790,Mình thay đổi địa chie
636791,Ship trong h hành chính giúp mình nhé shop
636792,tối tầm mấy h ạ 
636793,tối mình về hơi muộn
636794,th bạn ship đi 75 cho mình đi vậy
636795,75 Đinh Tiên Hoàng ạ
636796,sdt 0912567895
636797,Lễ tân họ ko nhận đâu
636798,Mai cũng dc bạn ạ
636799,Mình nhận r nhéo
636800,bộ trăng sao bên mình còn ko ạ 
636801,mình muốn lấy 1 bộ ạ
636802,mình muốn mua quây ạ
636803,cho mình kích thước các size với ạ
636804,và size nào còn hàng ạ
636805,quây cỡ vừa còn ko ạ
636806,cho mình lấy 1 quây nhé
636807,ship giúp mình đ n Park 12 times city dc ko ạ 
636808,tối nhé
636809,đợt nè ko hỗ trợ freeshịp ạ 
636810,à đợt trc mình cũng mua quây holla bên mình
636811,mình bi t là to mà
636812,tối ship giúp mình nhé
636813,bao nhiêu 1cái
636814,Cho em mot chiet 0918914341 huyen con dao tinh ba ria vung tau khu 3
636815,B cho mình giá 2 gh rung trên nhé
636816,2 loại này đều dành cho trẻ 1m dc hả b
636817,Tư vấn thêm cho mình 1 số đồ chơi cho trẻ 1m nhé
636818,Giá e này sao ạ
636819,B ơi sp này gấp gọn mang đi dc đúng k
636820,B cho t lấy nhé
636821,B ship giúp t
636822,Đc phòng1202 a2 toà h1 chung cư hoà bình 505 minh khai
636823,T đag nuôi e bé nên b nhắn ship mag lên nhà giúp m
636824,Uh màu xanh
636825,B ơi mình có dc hưởng ưu đãi giảm giá k
636826,Mình đặt mua thảm này qua fb códc ưu đãi k
636827,B ơi sao t lên shopee chưa thấy update cái đầu tàu hoả winfun nhỉ
636828,B cho t link dc k
636829,B ui mình đặt trên shopee từ5 2 chưa nhận dc
636830,Mà giá là 299
636831,K fai 1xx như shop post
636832,À sozi
636833,M đặt lại
636834,Th m đặt qua shop dc k
636835,Ok b cho m 1 chi c
636836,Và 3 y m ăn dặm chống thấm
636837,Alo b uiii
636838,Cái đơn hàng mình đặt trên shopee
636839,Mình báo huỷ r nhưng bên b giao hàng cho bên shipper r
636840,Nên b cho mình huỷ đơn ở fb này nhé
636841,B ơi đây là đầu tàu kéo đúng k b
636842,Mình có đẶt đầu tàu điều khiển từ xa
636843,Nhưng mình lại nhận đầu tàu kéo và thanh toán 329k
636844,Và mình đặt 3 cái y m thì nhận dc 2 thôi
636845,B ơi mình hỏi chút mình đặt hàng trên shopee
636846,Đơn hàng cuae mình đây
636847,Nhưg khi nhận thì là đầu tàu kéo và có 2 cái y m
636848,B xem laii giúp m
636849,À ok b y m 3 cái r nhé
636850,Còn tàu thì sao b
636851,Mình đặt tàu điều khiển
636852,Nhưng mình nhận là tàu dây kéo
636853,Tàu dây kéo có giá 199 đúng k b
636854,Trong khi bên shopee thu m 329k cả y m
636855,Giao sai đơn b ạ
636856,M ở 505 minh khai
636857,Nhưng mà lúc đầu m k bi t
636858,M lại dỡ ra r
636859,Hay b ck lại cho mình cái phần chênh hic
636860,M k để í
636861,Stk của m
636862,0301000317123 Chủ tk quản diệu linh Vcb hoàn ki m
636863,Ok b mạng viettel b nhé
636864,B ui b chụp hộ mình hướng dẫn nạp dc k
636865,Vì mình toàn nạp trực ti p qua tài khoản ngân hàng nên quên cú pháp nạp thẻ 
636866,Bể bơi thành cao b còn k
636867,Giá bn b ui
636868,Phao cổ bn hả b
636869,Ok cho mình lấy set 569k nhé
636870,Sdt 0982958918
636871,Cái í có to và cồng kềnh ko b
636872,Ok vì t2 mình chỉ nhận dc ở cơ quan
636873,B đổi đc giúp m
636874,23 phan chu trinh nhé
636875,B ui cho mình set bể bơi 569k
636876,Mai ship giúp m
636877,Đc 505 minh khai
636878,B có 2 sp này ko giá bn b ui
636879,T mua trực ti p qua inbox có dc giá như shopee ko
636880,Minhd lấy loại 369
636881,Cho mình xin số tk vcb
636882,B check vcb giúp m
636883,Xanh tím than b ui
636884,Đc 505 minh khai b nhé
636885,Dt 0982958918
636886,B còn sp này k ạ
636887,Shop ơi cửa hàng mình chuyển sang địa chỉ nào vậy ạ
636888,shop có quạt sưởi ấm k ạ
636889,Cho mình 1 thỏ trắng 1 gấu nơ đỏ
636890,Cho t xin giá giường nôi mamakid vừa đăng vs 
636891,T mua 2 cái cho 2 bạn sinh đôi nhà t thì có đc bớt k 
636892,Cho t đặt 2 cái màu hồng cho con gái đ n địa chỉ số 4 ngõ 107 phùng hưng hoàn ki m nhé
636893,Chiều mai lúc nào qua gọi trước cho t nhé
636894,À lấy cho t 2 cái còn nguyên box nhé
636895,bên b có người đ n hỗ trợ lắp k 
636896,Uh oke để t bật lại cho anh xã lắp
636897,Cho t hỏi máy medela pump like new giá 2tr300 vs
636898,Chiều 2h ship qua số 4 ngõ 107 phùng hưng hoàn ki m giúp t nhé
636899,Giá là 2590k b nhỉ 
636900,0945675290 nhé
636901,Trong trường hợp cần bảo hành trg vòng 1 năm thì pm bạn đúng k 
636902,Ngoài mẫu này ra còn mẫu nào cho sinh đôi nữa k c
636903,Có ảnh k ah 
636904,Mẫu ảnh trên thì bn ah 
636905,E muốn qua xem tận nơi thì qua h nào đc nhỉ 
636906,Xe đẩy hơn 3tr kia thì có sẵn j ah 
636907,C ơi cái mẫu đẩy đôi của zaracos bé sơ sinh nằm đc k ah 
636908,Oke mai ship cho e 1 cái màu tím như trên ảnh nhé
636909,0945675290 c nhé
636910,C ơi báo kho chuyển hàng cho e trước 3g chiều nhé
636911,Sau đấy e con đi có việc
636912,E xin giá máy xay hấp 5in1 babymoov nhé
636913,Đang khuy n mại đúng k ah 
636914,E xin link giới thiệu máy này của nhà mình vs
636915,C ơi chiều chuyển cho e 1 máy này nhé
636916,Địa chỉ số đt như cũ nha
636917,Oke sáng hay chiều giao đấy c 
636918,C ơi nhà mình có album thanh l của các mẹ đúng k ah 
636919,E có cái máy vắt sữa medela mua của nhà mình muốn thanh l 
636920,C ơi e vừa tag vs share
636921,Cho e 1 con này nhé
636922,Số 4 ngõ 107 phùng hưng hoàn ki m
636923,Qua gọi cho e số này nhé 0948001999
636924,Ship e mỗi loại 1 bộ nhé
636925,Sáng t2 giao hoặc sang hẳn sáng t3 nhé vì chiều t2 mình bận ko có nhà
636926,Bên mình có mẫu thảm nào cho bé gái k tư vấn cho t nhé
636927,B ơi hnay ship đồ chơi thì chuyển luôn cho t 1 cái thảm silicon hàn quốc mẫu 2 nhé
636928,Bh có mâuz 2 hả b 
636929,T thấy shoppee hình như còn đúng k
636930,Oke về mẫu 2 báo t nhé
636931,B ơi hẹn sáng nay giao 1 bộ câu cá 1 bộ quầy kem cho t mà k thấy 
636932,Th bh thì có hả b 
636933,E xin giá vs ah Đang sale đúng k ah
636934,C ơi thảm này chỉ còn mẫu 1 thôi ah 
636935,Đang đc freeship đúng k 
636936,Chuyển cho e 1 thảm qua số 4 ngõ 107 phùng hưng hoàn ki m nhé
636937,N u đc thì từ nay đ n trưa chuyển đc k c 
636938,C ơi hàng của e chuyển chưa 
636939,Th quây hola giá bn ah 
636940,E ở HN toy house 2tr2 có tặng bóng nữa k 
636941,Ship e 1 cái jumper kid nhé
636942,Vẫn địa chỉ cũ nha
636943,Quên mất ship cho e 1 cái địu màu này nữa nhé
636944,Còn k ship e 1 bộ này ah 
636945,E đặt trên shopee r nhé
636946,C check shopee đơn của e nhé
636947,Gh này em bé 6 tháng ngồi đc chưa c 
636948,T mua 2 cái thì giá ntn ah 
636949,T lấy 2 cái màu này nhé
636950,Oto nào cg dùng đc nhỉ 
