senid,sentence
422688,Ship về địa chỉ cạnh cửa hàng vàng kim dung dốc đê Đa Tốn gia lâm Hà nội
422689,Sđt 0973226832
422690,Shop co nôi xach tay hieu graco ko
422691,Loai ghè ngoi oto nay ne shop
422692,Minh cần nôi xach tay cùng hieu graco moi dc
422693,Minh dặt có ko shop
422694,Tron bo nay bao nhiu shop
422695,Báo gia minh cai nay di bn
422696,Va gh nay
422697,Ship saigon bao nhiu bn
422698,Ship mình cái gh mau xanh nha
422699,Voi quây này
422700,Minh lay tham nha b
422701,Va ghê an dam cho bé
422702,Thảm b co màu nao vay
422703,Thảm nào chong gia dậm tot hon bn
422704,Va be nha m chua biet di
422705,Co hình đong vat ko b
422706,Còn gh thi khi nào có màu xanh
422707,Gui m them chiec nay
422708,Shop oi co bán ko vay
422709,Tl minh biet de m con xem cho khac
422710,Ship saigon bao nhiu b
422711,Gửi mình chi c xe nha b
422712,Tháp 5 masteri thảo điền quan 2
422713,0967169974
422714,Gửi mình con này di bạn
422715,Co ship cod ko hay phải ck truoc vay bạn
422716,Phí ship saigon bao nhiu b
422717,Con nay bao nhiu vay shop
422718,Còn mấy này ạ
422719,Shop có shopee Ko b
422720,Ben Minh co shopee ok e
422721,Gh này cho bé 13kg vùa ko shop
422722,Gh nhìn rộng ko b
422723,Tai be minh hoi đô con
422724,Do là kich thuoc lọt lòng fai ko shop
422725,Cho minh link cua gh nay voi xe day du lich umoo
422726,Cho mình lấy 1 áo hút sữa rảnh tay b nhé
422727,Có 1 size hay nh size th 
422728,Ok vậy b ship tới nhà N1B ngõ 7 Hoàng Minh Giám cho m nhé Gọi số 0466897474 nói xuống lấy đồ cho a Tuấn giúp m nhé 
422729,Giá cả shiplaf bn nhỉ 
422730,Khi nào b ship đc cho m 
422731,Ô b k giao hàng cho m à 
422732,Sao họ lại nói là có ng gọi xác minh địa chỉ ngưng laih k mang tới mà
422733,B chuyển giúp lại cho m nhé
422734,Cái này sử dụng có phức tạp k b 
422735,Với cả 1 cái này nữa
422736,M ở sn 9 ngõ 60 Hoàng Tăng Bí
422737,Thuỵ Phương Bắc Từ Liêm b nhé
422738,Sdt m 0915189597 nhé
422739,Mấy giờ b ship đc hàng cho m b ơi 
422740,b ơi nhà b có cốc ủ cháo k 
422741,Gửi hình và báo giá m xem với
422742,gối tre màu trắng như hình hả b ơi 
422743,hay đó là vỏ gối đấy ạ 
422744,cái đó hút mồ hôi tốt hả b 
422745,ship Đinh Lễ bn ạ 
422746,giờ là 245 hả b 
422747,ship cho m 1 cái tới số 2 Đinh Lễ với
422748,bộ này có cho bé trai ko b 
422749,đồ chơi tắm xúc cát đẹp nhất th gian í
422750,BN 1 BỘ B ƠI 
422751,ship về Đinh Lễ bn ạ 
422752,m share rồi nhé
422753,đồ chơi tắm như nào b ơi 
422754,mai sáng b ship cho m được k 
422755,số 2 Đinh Lễ Hoàn Ki m Hà Nội
422756,0915189597 b nhé
422757,bộ bé trai nhé
422758,Cua nuoc nao vay 
422759,Co bh ko shop
422760,Tre may thang thi dung dc a
422761,Be nha m 7m
422762,May thang dung b nhi
422763,Khi nao mua m dat nhe
422764,Minh muon biet them tt ve sp nay thi xem dạu dc ak
422765,Shopee cung ko thay Toan sp khac
422766,Minh mua tt voi shop dc ko
422767,Gia bn vay
422768,Ak hang cua ben nao shop nbi
422769,Minh o thanh hoa
422770,Ok de minh tjm
422771,Sao minh vao xem tren shopee toan bao het hang nhi 
422772,B oi Xe nay minh vao tim shopee co thay dau 
422773,Shop oi Minh dat hang tu sang ma shopee cu bao đang xử l la sao 
422774,Tn la dat hang thanh cong chua ak 
422775,Shopee xu la tn ban Lam sau mua hang thi dc giam them ak 
422776,Don sau munh mua shop khac thi co tru ko vay
422777,Shop ho minh hoi ty nhe 
422778, mien phi chuyen hang voi hoa don tren 180k Minh mua hang tren 300k ma mat phi cuoc van chuyen hang la sao nhi 
422779,Tren shopee ay 
422780,M nhan dc hang roi nha
422781,Shop tu van minh voi
422782,Size L lon hon size Xl ak shop 
422783,Shop oi Minh hoi chut 
422784,Set nay bn vay 
422785,Tham trong set la tham cua toyhouse ak 
422786,The minh ko lay tham day 
422787,Shop bot dc bao nhieu vay
422788,Minh muon mua tham loai nay nay 
422789,Thay shop bao la cua korea 
422790,Nen muon doi sang lay tham nay 
422791,Tham nay gia bn vay b 
422792,Tham cu holla co Ok ko b nhi Co bi nong ko nhi 
422793,Đai bn tiền ạ
422794,Shop ơi xe tập đi này bn ạ
422795,Có chỉnh độ cao đk k ạ
422796,Có loại chỉnh cao thấp đk k ạ shop
422797,De e 1 bo
422798,có loại fake hay sao nhỉ
422799,có bạn bảo mua bên bạn loại gần giống mà rẻ hơn 
422800,ah đấy minh muon hỏi mua cái bạn dang nói hihi
422801,alo bạn ơi ck mình dang mua cái cũi 990 ship ve trương định đấy
422802,dời dang định mua cái xe đẩy
422803,giá cxac bao nhiêu shop
422804,shop ở khu hồ tây gì đúng k nhỉ
422805,lạc long quân ah
422806,alo shop có ship đồ k nhỉ
422807,ok mình mua shoppee rồi thanks shop
422808,mamago compact 319 giá bn shop ơi
422809,Bể bơi thành cao giá bao nhiu ạ
422810,Thanh chắn này bao nhiêu ạ
422811,Shop ơi bộ này còn ko ạ
422812,Giá vận chuyển vào SG là bao nhiêu ạ
422813,Bạn có bán túi này kg
422814,Của Babymoov đúng kg ah
422815,Vậy ship dùm mình 1 cái nhé
422816,Trang Thi 0919 665 909 Đc Số 75 đường số 8 Khu dân cư Hiệp Thành 3 P Hiệp Thành TP Thủ Dầu Một Bình Dương
422817,Ship về đây nhé bạn
422818,Mình đặt shopee rồi ah
422819,Bạn ship dùm mình nha
422820,máy hút mũi comfy baby giá bnhieu bạn ơi 
422821,em hỏi cái máy hút mũi í
422822,chị chuyển cho em 1 con nhé
422823,123 Đặng Ti n Đông chị ạ
422824,0979406006 ạ
422825,E đang quan tam cả cái gh ngồi ăn dặm cho bé
422826,có con nào ngon bổ rẻ ko chị
422827,Chip nhà em chưa ngồi dc cơ mà ngắm dần
422828,3 5 tháng chị ạ
422829,knao mua ới chị sau vậy
422830,ship con kia cho em sơm snhes
422831,e về hút mũi cho nó đỡ mệt
422832,Mình muốn đăt mua máy tiêt trùng sấy khô và bình đun giư nhiệt fazt
422833,Mình ở miền nam
422834,Bình pha sữa thông minh tiny có hâm đc sữa mẹ ko shop
422835,Cho sữa mẹ vô bình tiny luôn hảvshop
422836,Cám ơn shop mình mới mua ở shop mình 1 bình tiny
422837,Giờ muốn mua thêm 1 đun sôi với 1 tuyệt trùng sấy khô
422838,Shop hướng dẫn mình mua
422839,N u ck phí ship sao shop 
422840,Vậy cũng bằng trên shopee hả shop
422841,Chị ơi chị chụp sát ảnh thảm silicon Hàn quốc giúp e với ah
422842,Con nhà e bị viêm da hay ngứa ngáy
422843,Hay cọ mặt
422844,Nên e muốn xem chất liệu có mềm ko cọ mặt có bị xước hay đỏ mặt ko ah
422845,E xem rồi nhưng nhìn ko rõ lắm
422846,Ôi th ah e cảm ơn chị ah
422847,Chị báo giá thảm cho e với ah
422848,E cảm ơn chị nhiều nhé
422849,E muốn đ n xem thảm thì gọi grab ghi địa chỉ là 16 ngõ đê quai hay như nào hả chị 
422850,Nhưng gọi grab nó ko cụ thể đc như này ah
422851,N u đi h t ngõ 124 thì Ngõ đấy có dài ko ah 
422852,890k xi ch đu hak ban
422853,Gu i hi nh mih coi co may kieu
422854,Cai Nay Bn shop
422855,Chiê c Hello kitty Bn
422856,Th chuyển khoản trc hả b
422857,Sau đó bạn chuyển kiểu gì cho mình về quảng ninh vậy
422858,Vậy chuyển trong nội thành Hà nội cho mình bạn nhé
422859,Nguyễn đức cường Địa chỉ Nhà 103 ngõ 182 đường phú diễn bắc từ liêm HN
422860,Sđt 0984232098
422861,Sao bảo đang giảm giá
422862,Còn hơn 500k
422863,Xe tập đi winfin
422864,Đêy nè
422865,Có bảo hành gì k bạn
422866,Th nhận hàng mình ktra hàng đó
422867,Vậy mai mình qua
422868,Có còn đc giảm giá k
422869,Th thôi chiều nai mai hàng qua địa chỉ trên cho mình
422870,Mình bảo là chiều bạn cho ng ship xe tập đi đ n nhà Nhà 103 ngõ 182 đường phú diễn bắc từ liêm HN
422871,Sđt trên kia có gì bạn alo trc khi giao cho mình
422872,b ơi có gian hàng trên shopee k
422873,để mình lấy cái thảm xốp infantino
422874,Shop ơi mh lấy 1 bể bơi nhé
422875,Nhận ship cod k ạ 
422876,Ok ạ Để mh xem ạ
422877,Mh cảm ơn ạ 
422878,Shop ơi mh mua 1 bể bơi thành cao nha shop
422879,Cho mh stk mai mh ck luôn ạ
422880,Nguyễn thị hà phương 0356374513 Đc tổ dân phố diên phúc phường quảng phúc thị xã ba đồn quảng bình 
422881,E gửi rồi nha Nhận đc báo em hi
422882,Gh nầy nâng cao đc k shop
422883,Shop có hình chụp của gh k ạ Vỏ ngoài hay vỏ nhựa của gh vậy ạ 
422884,Để mh tham khảo Có gì mh nt lại sau nha
422885,Cái này là cái gì vậy shop
422886,Dán chỗ bể bơi à
422887,Cái hồng hồng dán rốn à shop 
422888,Mh lấy 1 cái nha
422889,Đc cũ ạ
422890,Mấy lấy luôn nha
422891,Tính bill cho mh để mh ck ạ
422892,Ok ạ Mh ck mh báo nha Châc mai chớ chiều nay mh chưa ck đc nha 
422893,Thêm cái này nữa nhé
422894,Chiều e ck nha shop Mấy hôm nay e quên 
422895,Nhận đc báo e nha 
422896,Mh nhầm shop ạ Vừa kiểm tra lại tn xong 
422897,Xin lỗi shop nhé 
422898,Để e tham khảo thông tin máy đã nha Có gì e nt lại ạ Cảm ơn shop nha 
422899,Thanh ngăn giường giá bn vậy shop
422900,Ship tỉnh k shop
422901,Thanh này thì gửi xe hay bưu điện ạ
422902,Dạ Để mình tham khảo rồi nt cho b sau nha
422903,B oie loạ này còn k 
422904,Có hình màu k cho mh xem với
422905,Vì mh dùng cho bé trai ạ
422906,Nên choé thì mh đổi mẫu an
422907,Chó mình xin giâ cái này luôn ạ 
422908,Để mh đo cữa rồi ib lại nha 
422909,Ship tỉnh k ạ 
422910,Shop ơi e lấy 1 cái bô nha
422911,Địu này còn k
422912,Có loại nào tương tự k shop
422913,Shop ơi cho mình hỏi cái túi hâm sữa còn km k
422914,Với lại n u ủ xong bé ti k h t mình lại ủ ti p đc ak
422915,Có sợ sữa bị chua k ạ
422916,Vậy túi này sử dụng như nào ạ
422917,Bh ăn mới ủ hả shop
422918,Th n u đi xa thì phải làm sa
422919,Gối sale còn bn vậy shop
422920,Sao lại rẻ vậy
422921,Mình vừa mua hơn 300k xong
422922,Shop ơi cho m hỏi m muốn mua bộ phụ kiện máy medal pum shop báo giá giúp m nhé
422923,Cho e hỏi máy hút sữa Avent giá bn ạ 
422924,Xe đẩy vovo 2 chiều và 1c giá ntn vậy b
422925,Xr này bn vậy shop
422926,báo giá cho mình bình ủ cháo Reala nhé
422927,khi nào có hàng t p
422928,và giá th nào bạn
422929,Hi bạn bên mình có hàng máy avent hoa tuy t đôi không giá bao nhiêu ạ
422930,Máy này là có xài pin luôn ko cần cắm điện đúng ko bạn
422931,Chỉ cần sạc đầy trc khi xài
422932,Pin này chạy máy đc khoảng bao lâu n u không cắm điện vậy bạn
422933,Xe Àh còn k ban
422934,Xe này còn k bạn
422935,Xe newyork
422936,Giá giờ bn b 
422937,Ship cho mình qua Trươg định nhé
422938,Ah chiều nay ship qua hoàng hoa thám giúp mình đc k
422939,Ship về địa chỉ này giúp mìh
422940,Gặp Phương
422941,0973 445 715
422942,Trc 5h chiều nhé b
422943,B đi ship cho mình chưa b ơi
422944,báo giá cho mình b nhé
422945,mình quây htooi
422946,hay cả bàn và ngựa bập bênh nữa b
422947,thax b
422948,b có hàng sẵn k b
422949,mình qua xem
422950,k có giá b à
422951,Bạn ơi ship hộ mình con ngựa bập bênh này chiều nay nhé
422952,Giá 399k đùng k
422953,Nghỉ cn mà thứ 2 cũng gần 5h rồi b
422954,B ship qua ngõ 658 trương định giúp mình
422955,0985 047 798
422956,Trong ngày là hnay hả
422957,Tối thì b gọi số này 098 801 1968
422958,Có ghe khoang 1xxx ko b
422959,B oi ghe này cao bn
422960,1390 là giá về tay chưa b
422961,Đat han g qua shopee ha b
422962,Đat Shop giao đc ko
422963,Shop oi gh này gia 1190 là giá vè tay đung ko
422964,Bao nhiêu tiền ah
422965,Bộ Bể Bơi cho be bao Nhíu tiền ah
422966,Mình ở Phan Thi t muôn mua phải chuyển khoản trước ha 
422967,Hay nhận hàng rôi mình đưa tiền luôn
422968,Sao ko tra loi shop
422969,Shop còn thú nhún k ạ
422970,Mình lấy thú màu đỏ nhé
422971,1139 giải phóng hoàng mai b nhé
422972,Sđt 0984757361
422973,Ship 40k ah B
422974,Nội thành mà phí đắt th ạ
422975,Vậy để mình nhờ e mình qua Shop ạ
422976,B ơi e mình Hnay lại có việc
422977,Thôi B ship cho mình cũng dc
422978,Shop ship cho mình thú nhún màu đỏ nhé
422979,Phải 8h kém mình ms ở nhà ạ
422980,Chua ship mình ah
422981,Mấy h Shop Ship cho mình ạ
422982,Thanh chắn cầu thang giá tn ạ
422983,Phí ship về tp nam định th nào ạ
422984,cho mình hỏi luôn thanh chắn 1 8m và 1 6m thì bn
422985,Cho mình xin giá kệ màu trắng
422986,Cho mình lấy loại có tay nhé
422987,Th cho mình lấy kệ có tay màu đen nhé
422988,Tối ship giúp mình đ n 38 Thái Hà nhé sau 6h
422989,Đt mình 0985750649
422990,Cho mình hỏi giá xe này với
422991,Mình tưởng tên xe là Nadle về nhỉ
422992,Xe như trong clip đúng ko b 
422993,Xe có sẵn đúng ko b
422994,Xe có nhẹ dễ đạp ko b nhỉ
422995,Còn màu khác nữa ko
422996,Th cho mình lấy màu đỏ nhé
422997,Dễ lắp ráp đúng ko b
422998,Mình ở 38 Thái Hà sáng mai ship cho mình được ko
422999,Vậy tối nay ship cho mình nhé
423000,Mình ko lấy mũ bảo hiểm
423001,Ok mình cảm ơn b
423002,B ơi cho mình hỏi giá 2 sản phẩm này
423003,Ok vậy cho mình lấy 2 sp này nhé 
423004,Máy Tiny Baby có dễ sử dụng ko b 
423005,Mình ko muốn lấy gh ăn nên giá chỉ còn 2990k thôi đúng ko
423006,Ship giúp mình qua 38 Thái Hà trong sáng nay nhé
423007,Sđt của mình 0985750649
423008,B ơi mình lấy cả ngựa đó
423009,Hàng có sẵn đúng ko b
423010,Ok mai giao ngựa cho mình nha Mình cảm ơn
423011,B ơi b share cho mình link bài cách hướng dẫn sử dụng máy tiny baby nhé
423012,B ơi cho mình hỏi các sp này bên b còn ko
423013,Gh b còn màu hồng ko
423014,B tính tổng cho mình nhé
423015,Mình lấy 4 sp này
423016,Ok b tối nay ship giúp mình sau 6h nhé
423017,Ship giúp mình đ n địa chỉ toà nhà IPH 241 Xuân Thuỷ nhé
423018,Gh trên kia có để đc gối đỡ đầu như cái bonbebe ko b nhỉ
423019,À ok b 
423020,Sz M kích thước như nào b nhỉ
423021,Th cho mình lấy cái sz M góc tròn màu hồng nhé
423022,B ơi tối nay chưa ship đồ cho mình à
423023,Ok b giao luôn giúp m nhé
423024,Gh đẹp vs ngồi thích lắm b nhé
423025,B ơi bình nuk này b còn ko
423026,B còn màu gì nhỉ
423027,À loại 240ml còn ko b
423028,Vs ti giả nuk cho bé 6 tháng b còn ko
423029,Cho mình giá cả 2 sp nhé
423030,B còn màu hồng vs xanh lá ko
423031,Th cho mình 1 cặp ti giả cho bé 6m chọn giúp mình màu cho bé gái nhé
423032,Vs 2 bình nuk 240ml
423033,Màu xanh lá vs hồng
423034,Ship luôn giúp mình đ n 241 Xuân Thuỷ nhé
423035,Ship tối nay giúp m luôn nhé
423036,Hiện tại bên b có mẫu xe đẩy nào gập gọn để xách lên máy bay ko
423037,Giá tầm 3tr đổ lại
423038,Xe joie pact thì bn cân b nhỉ
423039,Có ảnh lúc gập gọn của xe này ko b
423040,À ok mình thấy r
423041,Xe còn màu đỏ ko b
423042,Giá xe là 3 360 đúng ko b
423043,Cho m lấy 1 c màu đỏ nhé
423044,Ship giúp m qua toà nhà IPH 241 Xuân Thuỷ
423045,À mình thấy trong clip có túi đựng xe
423046,Ko bi t bên mình có túi đi kèm ko b nhỉ
423047,B ơi ko bi t xe của mình ship đi chưa nhỉ
423048,B ơi set full này còn ko
423049,B ơi bộ này còn ko
423050,Cho m lấy 1 bộ nhé
423051,Đ n Vincom Bà Triệu
423052,Mặt bidv đoàn trần nghiệp
423053,Sđt 0985750649
423054,Ok b trong h hành chính giúp mình
423055,B quên giao hàng cho mình à 
423056,Mình đặt từ hôm t5
423057,Chưa b ạ 
423058,Ok hnay giao luôn cho m nha
423059,Vẫn ở vincom bà triệu h hành chính b nhé
423060,Loai nay k co tay day fai k b
423061,B ơi mjh muon mua gh ngồi ô tô
423062,Cái ma la nôi xach tay luon i
423063,Mjh muốn mua 2tr đổ về
423064,Mjh con nhỏ k đi xemddc tận nơi
423065,B tư vấn kĩ cho mjh mjh mua luôn nhe
423066,Bé gai b a
423067,Đ có td the nao b
423068,B có thêm ảnh màu đen k b
423069,Về chất liệu thì safety hay joie chăc chắn hơn ha b
423070,Trọng lượng xách thì tnao a b
423071,Về chat lươngh đệm nằm thi sao b
423072,Cai nao thoag khí vs vệ sinh hơn
423073,Mjhvcug phan van vi trog cái joie co vẻ gọn
423074,Thôi m lấy cai safety đi
423075,B tư vấn cho mjh thêm xe đẩy nữa nhé
423076,Mjh lay màu đen
423077,Nôi safety mau đen i
423078,Còn xe mjh phân vân giữa Aprica và Vovo hoặc dòng nào đókhoag giá đó
423079,Ý mjg là 1 là lấy cao thì lấy Aprica
423080,Hoac lây thấp thig vovo hoặc tầm giá i
423081,Căn bản mjh sợ k dùng nhieu vi can mua nhieubloai xe
423082,Aprica mjh muốn lấy loại 6tr đổ xuống thui
423083,Dòng nào b
423084,Karoon dòng đấy k có đệm mamolu a
423085,Mjh đag ngắm dòng karoon plus
423086,Dog i k dc tặng địu a b
423087,Sau km là còn bn nhi
423088,Th còn vovo chất lg tnao b
423089,Nhin ảnh này k đc rõ nhưng b co biét đây là dòng j k b
423090,Thui th mjh cứ lấy nôi trc vậy
423091,Xe mjh nghĩ thêm đZlax vậy
423092,B ship cho mjh hay dat qua shopee b
423093,Mjh ở Ha Đông
423094,D c cua mjh
423095,So 12 day 9 ngõ 12 ngô quyền hà đô g
423096,0917004589
423097,Màu đen i b
423098,Mau nayf b
423099,Xe tập đi newyork bạn còn hàng k
423100,Ban ơi xe new yourk k về habgf nữa à
423101,Bạn ship cho mình 1 cái màu mình gưit
423102,Đ n chung cư 18 tam trinh
423103,Sau 3h chiều nhé
423104,Sdt 0981831885
423105,Phí ship bn nhỉ
423106,Lắp sẵn cho mình đc thì tốt
423107,Ok bạnh
423108,Nhớ ship cho mình sau 3h chieu nhé
423109,Ldo mình mới ở địa chỉ đi
423110,Chiều mà mưa to ntn thì mai ship cuzng đc bạn ơi
423111,Nghe chừnh k coa chiều hướng tạnh r
423112,Uk mình thấy bảo càng về chiều càng mưa to đấy
423113,Thui để sáng mai r ship mình
423114,K mưa lại khổ ship
423115,Hix ship lun hn mà k gd báo trc mình
423116,Làm mình đi chơi k có nhà
423117,Phải bảo ship ra minh khai nhà bà ngoại
423118,Bà ngoại cũng đi chơi
423119,Phải nhờ nv cửa hàng lấy hộ
423120,Đáng lẽ bảo sáng mai rùi ship lun gd báo mình trc 1 câu cho đỡ bất ngờ
423121,Fb cho mình nè
423122,Xe đẹp quá
423123,Cháu đc xuống sân chung cư đc ngồi xe mới nên hớn hở đấy ak
423124,Đi xe ai cũng hỏi mua ở đâu xe đẹp th 
423125,Gh này giá bn a
423126,Gh này bn shop 
423127,Màu xanh có sẵn ko shop 
423128,Bé nhà m bé gái nhưg m ko thích màu hồng
423129,Cái này thì bn shop 
423130,Thảm này còn những màu nào cho m xem để m lấy luôn
423131,Toàn màu con trai b nhỉ 
423132,Thảm chữ nhật giá bn b 
423133,Gh này có nhạc và rung ko b 
423134,Có màu như ảnh ko b 
423135,Mấy đứa e chj nó bảo nó tặng Chắc nó lấy của bên e mấy thứ đấy 
423136,E chj nó đặt mua gh ngồi ăn và cái gh rung Đã có hàng chưa e 
423137,Tên Nhung
423138,Cái này bên e còn hàng ko 
423139,Giá vẫn vậy ak e 
423140,Cho c lấy 1 bộ này Thảm chữ nhật có màu bé gai chưa e 
423141,Uk e gửi chj xem đi
423142,Chj lấy mấy thứ nữa tiện ship cho chj luôn
423143,Chj lấy mẫu này
423144,Quấn ủ gấu bông có những màu j e Dành cho bn kg 
423145,Chj gui mấy thứ r e báo giá cho chj nha
423146,Gh hôm r e chj mua của e r mà
423147,Bỏ quấn ủ nhé Còn lại chj lấy Ngựa chj lấy màu hồng
423148,Tổng cả đơn là bn e 
423149,0978969899 71 lê văn lương Chỗ hôm trc chở gh đ n cho chj 
423150,Xe nay dùng cho bé tầm nào e 
423151,E tính nhầm ko sao có 704 
423152,E cộng thêm cả cái xe này cho chj nữa
423153,7 món tất cả
423154,Hút tay nữa
423155,Ok e Chốt nhé Ngựa và xe đều màu hồng e nhé
423156,E ơi huỷ cho chj cái gối chặn nhé
423157,Huỷ cái này e nhé Vì chj sợ sang tháng con chj ko dùng đ n nữa
423158,Mấy giờ ship cho chj e ơi
423159,Xe đẩy này còn hàng ko e 
423160,Có đủ màu ko e 
423161,Màu xanh h t ak e Con chj trc sinh chj lại mua r Đây chj hỏi để mua tặng con của khách hàng
423162,Đồ của chj e ship chưa tiện ship cho chj cả xe đẩy luon Chiều chj tặng r
423163,Màu xanh cạnh màu be ak e 
423164,Chờ chj tí để chj hỏi
423165,Lắp lấy có dễ ko e 
423166,Lắp xong cho vào thùng đc ko e 
423167,E đâu r 
423168,Đang chat dở lại đâu r e Chiều chj cần tặng kh rồi
423169,Nó rời từng bộ phận ak e
423170,N u lắp dễ e để nguyên thùng cho chj Ship cho chj luôn đi e
423171,Xe đẩy màu xanh e nhe
423172,E ơi đi chưa N u chưa đi thì lắp luôn xe đẩy hộ chj
423173,V t đó e xem jup chj N u chj mua dùng thì ko sao đằng này chj đi tặng
423174,Giờ đổi có cái khác ko 
423175,Đổi thì bao giờ có
423176,Vì lỗi vậy ko thì e bớt xíu đi vậy
423177,Tí chuyển nốt chăn lông cừu cho chj nhé
423178,Ok Cảm ơn e Qua chj bảo ko lấy set gối chặn nữa mà nay mang đ n thấy xinh nên chj lại lấy
423179,Ngựa hồng nhạt quá e ạ ko có hồng đậm hơn ak e 
423180,Ngựa bập bênh e
423181,Thôi e ạ Kể ra hồng đậm thì đẹp hơn
423182,Chăn lông cừu có cỡ to hơn ko e 
423183,Con bé cháu 4 tuổi nó cứ đòi nên chj tưởng có cỡ to hơn thì lấy cho nó
423184,Hôm nay e chuyển cho chj hồng nào Con chj chưa dùng đ n nên chj chưa mở ra Hồng trên đẹp th e
423185,Uk để mai chj xem N u đổi thì thứ 2 đổi cho chj nhé 
423186,Uk N u đổi mai chj nhắn lại cho e nha Th mà hôm nay về mẫu mới ko nhắn cho chj để chj đổi sang luôn 
423187,Vậy ak e Thảo nào vừa nãy vào fb ms thấy
423188,N u ship 2 chiều là bn e 
423189,Ok e Có j mai mà chj đổi chj nhờ e gọi ship jup chj nha
423190,Uk thứ 2 cũng đc e Có j chj nhắn cho e 
423191,E còn chăn hello kity ko 
423192,Thứ 2 ship cho chj cái chăn đó nữa nhé 
423193,Bô gấu panda màu hồng có ko e 
423194,Vậy lúc nào ship chăn thì ship luôn cho chj nhé
423195,Bên e có màn cho bé ko 
423196,Đặt e bé nằm trong đó ak e 
423197,Giống cái này fai ko e 
